DocID,LocalFilename,FileType,RetrievedDate,Notes
QAA-24-001,QAA-24-001__QAA__2024.pdf,PDF,2025/10/13,PDF
OFS-22-001,OFS-22-001__OfS__2022.pdf,PDF,2025/10/13,PDF
DFE-23-001,DFE-23-001__DFE__2023.pdf,PDF,2025/10/13,PDF
ENIC-25-001,ENIC-25-001__ENIC__2025.pdf,PDF,2025/10/13,Print
UUK-25-001,UUK-25-001__UUK__2025.pdf,PDF,2025/10/13,Print
SCQF-25-001,SCQF-25-001__SCQF__2025.pdf,PDF,2025/10/13,Print
SFC-25-001,SFC-25-001__SFC__2025.pdf,PDF,2025/10/13,PDF
WELSH-25-001,WELSH-25-001__WELSH__2025.pdf,PDF,2025/10/13,PDF
NIDE-25-001,NIDE-25-001__NIDE__2025.pdf,PDF,2025/10/13,Print
OFQUAL-25-001,OFQUAL-25-001__OFQUAL__2025.pdf,PDF,2025/10/13,Print
SLQF-23-001,SLQF-23-001__SLQF__2023.pdf,PDF,2025/10/13,PDF
BCSL-24-001,BCSL-24-001__BCSL__2024.pdf,PDF,2025/10/13,PDF
