DocID,Title,Year,Jurisdiction,DocType,PrimaryFocus,KeyProvisions/Descriptors,Levels/Credits,ExitAwards(Yes/No+details),TNE/PartnerRules,Recognition/Entry(ENIC),Citations(Page/Section),UseInReview(How it will be used)
QAA-24-001,The Frameworks for Higher Education Qualifications of UK Degree-Awarding Bodies,2024,UK (FHEQ EWNI; FQHEIS Scotland),Framework,Framework levels & qualification descriptors,Level 4–8 descriptors; award descriptors; credit guidance,Levels 4–8 (EWNI) / SCQF 7–12; UG ~120 credits/level; Master’s 180 at L7; doctorates not typically credit-rated (pro doctorates ~540),"Yes — CertHE (L4), DipHE (L5), etc.",Not covered,Not applicable,"FHEQ 2024 — ""Qualification descriptor for level 4"", p. 43; FHEQ 2024 — ""Qualification descriptor for level 5"", p. 42; FHEQ 2024 — ""Qualification descriptor for level 6"", p. 42; FHEQ 2024 — ""Qualification descriptor for level 7"", p. 41; FHEQ 2024 — ""Qualification descriptor for level 8"", p. 41",Map levels to award titles table and exit-award table
OFS-22-001,Securing student success: Regulatory framework for higher education in England,2022,England,Regulatory framework,Conditions of registration & oversight,Conditions A–G; registration categories; reportable events,Not applicable,Not specified,Applies to registered providers incl. partner delivery; quality/consumer protection duties,Not applicable,"Condition A1: Access and participation plan— p. 83;  Condition A2: Access and participation statement — p. 87; Condition B1: Academic experience —  p. 89; Condition B2: Resources, support and student engagement — p. 98; Condition B3: Student outcomes — p. 107; Condition B4: Assessment and awards — p. 118; Condition B5: Sector-recognised standards — p. 127; Condition B6: Teaching Excellence Framework participation — p. 132; Condition B7: Quality — p. 134; Condition B8: Standards —  p. 137; Condition C1: Guidance on consumer protection law — p. 141; Condition C2: Student complaints scheme — p. 144; Condition C3: Student protection plan — p. 146; Condition C4: Student protection directions — p. 150; Condition D: Financial viability and sustainability — p. 154; Condition E1: Public interest governance — p. 161; Condition E2: Management and governance — p. 163; Condition E3: Accountability — p. 169; Condition E4: Notification of changes to the Register — p. 171; Condition E5: Facilitation of electoral registration — p. 173; Condition F1: Transparency information — p. 175; Condition F2: Student transfer arrangements — p.177; Condition F3: Provision of information to the OfS — p. 178; Condition F4: Provision of information to the DDB — p.181; Condition G1: Mandatory fee limit — p. 182; Condition G2: Compliance with terms and conditions of financial
Support — p. 184; Condition G3: Payment of OfS and designated body fees — p. 186; ",Explain regulatory obligations and oversight relevant to UK TNE delivery
DFE-23-001,Framework document between the Department for Education and the Office for Students,2023,England,Regulatory framework,Sponsorship/governance of OfS,OfS purposes & duties; accountability; relationship management,Not applicable,Not specified,Not covered directly (governance only),Not applicable,"Purposes, aims and duties — p. 8; ",Establish governance context of OfS within UK HE regulation
ENIC-25-001,Statement of Comparability,2025,UK,Recognition/Comparability,Qualification comparability service,Compares non-UK awards to UK levels; supports admissions/employers,Not applicable,Not applicable,Not applicable,Provides official comparability for entry decisions,Service description page,"Support entry-recognition notes (e.g., Sri Lankan GCE A/L comparability)"
UUK-25-001,The scale of UK HE TNE 2021—22,2025,UK,Sector report,TNE statistics & trends,Student numbers by host country; delivery modes; provider footprint; headline QA/oversight summary,Not applicable,Not specified,Not covered,Not applicable,Report summary section,Use for context stats and a short TNE overview paragraph
SCQF-25-001,Using the Framework (SCQF Interactive Framework),2025,Scotland,Framework,Levels & credit framework (Scotland),SCQF 1–12 descriptors; credit definitions; progression guidance,SCQF 7–12 (HE); typical credit volumes noted,Not specified,Not covered,Not applicable,Interactive Framework — HE levels tab,Map Scottish levels alongside FHEQ in the levels/awards table
SFC-25-001,SFC Guidance on Quality for Colleges and Universities AY 2024-25 to AY 2030-31: refresh,2025,Scotland,Guidance/Handbook,QA & enhancement arrangements,Principles; evaluation approach; roles/responsibilities; reporting,Not applicable,Not specified,Partner/oversight expectations for funded provision,Not applicable,Evaluation of the Principles — p. 47; ,Summarise Scotland oversight model in governance table
WELSH-25-001,Regulation of higher education providers and designation for student support,2025,Wales,Guidance/Handbook,Regulation & designation policy (Wales),Registration arrangements; quality assessment frequency; designation rules,Not applicable,Not specified,Not covered,Not applicable,Section “Frequency of higher education quality assessment”,Add Wales regulatory notes to governance table
NIDE-25-001,Higher education (policy overview),2025,Northern Ireland,Guidance/Handbook,Government HE policy & signposting,Funding/quality policy pages; links to oversight bodies; student support,Not applicable,Not specified,Not covered,Not applicable,Policy overview page,Add NI policy/oversight line to governance table
OFQUAL-25-001,General Conditions of Recognition (Ofqual Handbook),2025,England,Guidance/Handbook,Awarding-organisation conditions,Governance & integrity; assessment standards; centre management; malpractice rules,Not applicable,Not specified,Not covered,Not applicable,Handbook index/contents,Use as cross-reference for awarding-body conditions (non-HE but relevant)
SLQF-23-001,Manual for Certification of Level of Educational Qualifications in Accordance with the SLQF,2023,Sri Lanka,Framework,SLQF certification & level descriptors,Levels 1–12 descriptors; level certification process; evidence requirements,Levels 1–12; credit/volume per SLQF,Not specified,Not covered,Not applicable,Level descriptors sections — p. ii; ,Context mapping between SLQF and UK frameworks (narrative note)
BCSL-24-001,Transnational education in Sri Lanka: Operational and quality assurance landscape,2024,Sri Lanka,Sector report,TNE landscape (Sri Lanka),Provider models; QA/approval pathways; student numbers; risks & opportunities,Not applicable,Not specified,Summary of QA considerations for partnerships,Recognised sector report (context),Report body,Support Sri Lanka context paragraph and risk/QA checklist
