DocID,FullCitation,Accessed(YYYY-MM-DD)
QAA-24-001,Quality Assurance Agency for Higher Education. The Frameworks for Higher Education Qualifications of UK Degree-Awarding Bodies. 2024. QAA. Available at: https://www.qaa.ac.uk/docs/qaa/quality-code/the-frameworks-for-higher-education-qualifications-of-uk-degree-awarding-bodies-2024.pdf?sfvrsn=3562b281_11,2025-10-13
OFS-22-001,Office for Students. Securing student success: Regulatory framework for higher education in England. 2022. Office for Students. Available at: https://www.officeforstudents.org.uk/media/qzqblugo/securing-student-success-regulatory-framework-for-higher-education-in-england-2022.pdf,2025-10-13
DFE-23-001,Department for Education. Framework document between the Department for Education and the Office for Students. 2023. Department for Education. Available at: https://assets.publishing.service.gov.uk/media/63c56f98e90e074eed258011/OfS_framework_document.pdf,2025-10-13
ENIC-25-001,UK ENIC (ECCTIS). Statement of Comparability. 2025. UK ENIC. Available at: https://www.enic.org.uk/individuals/statement-of-comparability,2025-10-13
UUK-25-001,Universities UK. The scale of UK HE TNE 2021–22. 2025. Universities UK. Available at: https://www.universitiesuk.ac.uk/universities-uk-international/insights-and-publications/uuki-publications/scale-uk-he-tne-2021-22,2025-10-13
SCQF-25-001,SCQF Partnership. Using the Framework (Interactive Framework). 2025. SCQF Partnership. Available at: https://scqf.org.uk/the-framework/interactive-framework/,2025-10-13
SFC-25-001,Scottish Funding Council. SFC Guidance on Quality for Colleges and Universities AY 2024-25 to AY 2030-31: refresh. 2025. Scottish Funding Council. Available at: https://www.sfc.ac.uk/wp-content/uploads/2025/06/SFC-Guidance-on-Quality-for-colleges-and-universities-AY2024-25-to-2030-31-refresh.pdf,2025-10-13
WELSH-25-001,Welsh Government. Regulation of higher education providers and designation for student support. 2025. Welsh Government. Available at: https://www.gov.wales/sites/default/files/pdf-versions/2025/4/2/1744102075/regulation-higher-education-providers-and-designation-student-support.pdf,2025-10-13
NIDE-25-001,Department for the Economy (Northern Ireland). Higher education. 2025. Department for the Economy (Northern Ireland). Available at: https://www.economy-ni.gov.uk/topics/higher-education,2025-10-13
OFQUAL-25-001,Office of Qualifications and Examinations Regulation (Ofqual). General Conditions of Recognition (Ofqual Handbook). 2025. Ofqual. Available at: https://www.gov.uk/guidance/ofqual-handbook,2025-10-13
SLQF-23-001,University Grants Commission (Sri Lanka). Manual for Certification of Level of Educational Qualifications in Accordance with the Sri Lanka Qualifications Framework. 2023. UGC Sri Lanka. Available at: https://med.pdn.ac.lk/admin/iqac/downloads/Programme%20Review%20Manuals/5.%20SLQF%20Certification%20Manual.pdf,2025-10-13
BCSL-24-001,British Council Sri Lanka. Transnational education in Sri Lanka: Operational and quality assurance landscape. 2024. British Council Sri Lanka. Available at: https://www.britishcouncil.lk/sites/default/files/sri_lanka_tne_report_august_2024.pdf,2025-10-13
