DocID,Source,URL,Title,Publisher,Year,Country,DocType,Status(Include/Exclude/Borderline),ReasonCode,Notes
QAA-24-001,QAA,https://www.qaa.ac.uk/docs/qaa/quality-code/the-frameworks-for-higher-education-qualifications-of-uk-degree-awarding-bodies-2024.pdf?sfvrsn=3562b281_11,The Frameworks for Higher Education Qualifications of UK Degree-Awarding Bodies,QAA,2024,UK,Framework,Include,I1,Current in-force edition
OFS-22-001,OFS,https://www.officeforstudents.org.uk/media/qzqblugo/securing-student-success-regulatory-framework-for-higher-education-in-england-2022.pdf,Securing student success: Regulatory framework for higher education in England,Office for Students,2022,UK,Regulatory framework,Include,I3,Latest consolidated version
DFE-23-001,DFE,https://assets.publishing.service.gov.uk/media/63c56f98e90e074eed258011/OfS_framework_document.pdf,Framework document between the Department for Education and the Office for Students,Department for Education,2023,UK,Regulatory framework,Include,I3,Sets responsibilities and governance DfE–OfS
ENIC-25-001,ENIC,https://www.enic.org.uk/individuals/statement-of-comparability,Statement of Comparability,UK ENIC,2025,UK,Recognition/Comparability,Include,I4,Recognition guidance for entry comparability
UUK-25-001,UUK,https://www.universitiesuk.ac.uk/universities-uk-international/insights-and-publications/uuki-publications/scale-uk-he-tne-2021-22,The scale of UK HE TNE 2021—22,Universities UK,2025,UK,Sector report,Include,I3,Authoritative sector report on TNE governance
SCQF-25-001,SCQF,https://scqf.org.uk/the-framework/interactive-framework/,Using the Framework,SCQF Partnership,2025,Scotland,Framework,Include,I1,Current in-force framework
SFC-25-001,SFC,https://www.sfc.ac.uk/wp-content/uploads/2025/06/SFC-Guidance-on-Quality-for-colleges-and-universities-AY2024-25-to-2030-31-refresh.pdf,SFC Guidance on Quality for Colleges and Universities AY 2024-25 to AY 2030-31: refresh,Scottish Funding Council,2025,Scotland,Guidance/Handbook,Include,I3,Quality assurance and enhancement guidance
WELSH-25-001,WELSH,https://www.gov.wales/sites/default/files/pdf-versions/2025/4/2/1744102075/regulation-higher-education-providers-and-designation-student-support.pdf,Regulation of higher education providers and designation for student support,Welsh Government,2025,Wales,Guidance/Handbook,Include,I3,Regulatory policy pages (Wales)
NIDE-25-001,NIDE,https://www.economy-ni.gov.uk/topics/higher-education,Higher education,Department for the Economy (Northern Ireland),2025,Northern Ireland,Guidance/Handbook,Include,I3,Government policy pages for HE
OFQUAL-25-001,OFQUAL,https://www.gov.uk/guidance/ofqual-handbook,General Conditions of Recognition,Ofqual,2025,England,Guidance/Handbook,Include,I3,Rules and guidance for all awarding organisations and all regulated qualifications 
SLQF-23-001,SLQF,https://med.pdn.ac.lk/admin/iqac/downloads/Programme%20Review%20Manuals/5.%20SLQF%20Certification%20Manual.pdf,Manual for Certification of Level of Educational Qualifications in Accordance with the Sri Lanka Qualifications Framework,UGC Sri Lanka,2023,Sri Lanka,Framework,Borderline,B1,Context source (Sri Lanka) for TNE context
BCSL-24-001,BCSL,https://www.britishcouncil.lk/sites/default/files/sri_lanka_tne_report_august_2024.pdf,Transnational education in Sri Lanka: Operational and quality assurance landscape,British Council Sri Lanka,2024,Sri Lanka,Sector report,Borderline,B1,Context source (Sri Lanka) for TNE context
